,city,country,Description
23,Delhi,India,"Steeped in history yet overflowing with modern life, colorful, cacophonous Delhi pulsates with the relentless rhythms of humanity like few other cities on Earth.
Old Delhi Mayhem
Honk-honk-beeeep! Welcome to Old Delhi. Love or hate it, it's impossible to ignore. Whether you make it your base, or just dip into it for shopping sprees or to see the Red Fort, you'll be hard pushed to ever forget your time in this wonderfully chaotic, and fabulously photogenic corner of the city. You'll be sharing its hectic streets and alleys with carts and cycle-rickshaws, with cows and monkeys, with shoppers and with beggars, with street-food sellers and market traders, and with cars, vans, scooters and autorickshaws; watch your back – honk-honk-beeeep!
A Fabulous Feast
As the capital city of one of the most delicious countries on Earth, Delhi tantalizes your taste buds with its thali-like fusion of flavors from every corner of the subcontinent: Breakfast on South Indian idly; lunch on Punjabi kulchas; then, come evening, dine on rich Mughlai curries. But don't forget to leave room for some Dilli-ka-Chaat, Delhi's famously delicious street-food snacks; try sizzling kebabs for starters, then munch on aloo tikki (spiced potato patties) before getting your fingers sticky on jalebi (orange-coloured coils of deep-fried batter dunked in sugar syrup) or savoring some sumptuously creamy cardamon kheer (rice pudding).
The Great Indian Bazaar
All the riches of India twinkle in Delhi's emporiums, so if you're regretting not buying that handmade kathputli (puppet) you saw in Rajasthan or that Madhubani painting you loved in Bihar, fear not; chances are you'll be able to find one here too. New Delhi's emporiums are multi-floor, gift-filled markets that are perfect for a last-minute souvenir binge before you fly home. Old Delhi's famously frenetic street bazaars, meanwhile, contain a mind-boggling array of clothes, slippers, shawls, handicrafts, food, electronics and more – even if you're not buying anything, they're a joy to visit (and photograph).
Eight Cities in One
Delhi is a city built upon cities. There are at least eight historical Delhis, each constructed on, or near, the ruins of its predecessor, leaving a modern-day citadel that's dotted with ancient monuments, many said to be haunted by djinns (spirits). Love history and you'll be left salivating as you trace your way through the eras, clambering across the ruined forts of Tughlaqabad, Siri, Purana Qila and Shajahanabad; exploring the magnificent tombs of eminent historical figures; and visiting the still-vibrant temples, mosques and shrines that throng with devotees today, as they have done for hundreds of years."
24,Dresden,Germany,"There are few city silhouettes more striking than Dresden’s. The classic view from the Elbe’s northern bank takes in spires, towers and domes belonging to palaces, churches and stately buildings, and indeed it's hard to believe that the city was all but wiped off the map by Allied bombings in 1945.Dresden's cultural heyday came during the 18th-century reigns of Augustus the Strong (August der Starke) and his son Augustus III, who sponsored many of Dresden’s iconic buildings, including the Zwinger and the Frauenkirche. While the devastating 1945 Allied firestorm levelled most of these treasures, their contents were safely removed before the bombings and now take pride of place in Dresden's rebuilt museums.Across the river from this treasure trove of classic art and architecture, Dresden's Neustadt has dozens of funky restaurants, shops and one of the liveliest nightlife scenes in Germany's east."
25,Dublin,Ireland,"A small capital with a huge reputation, Dublin has a mix of heritage and hedonism that will not disappoint. All you have to do is show up.
Layers of History
Dublin has been in the news since the 9th century, and while traces of its Viking past have been largely washed away, the city is a living museum of its history since then, with medieval castles and cathedrals on display alongside the architectural splendours of its 18th-century heyday, when Dublin was the most handsome Georgian city of the British Empire and a fine reflection of the aspirations of its most privileged citizens. How power was wrested from their hands is another story, and you'll learn that one in its museums and on its walking tours.
Personality Goes A Long Way
Dubliners will admit theirs isn't the prettiest city, but will remind you that pretty things are as easy to like as they are to forget…before showing you the showstopper Georgian bits to prove that Dublin has a fine line in sophisticated elegance. True love is demonstrated with brutal unsentimentality round here, but they'll go soft at the knees when talking about the character and personality of the 'greatest city in the world, if you ignore all the others'. Garrulous, amiable and witty, Dubliners at their ease are the greatest hosts of all, a charismatic bunch with compelling soul and sociability.
A Few Scoops
Even in these times of green juices and heart-monitoring apps, the pub remains the alpha and omega of social interaction in Dublin. The city's relationship with alcohol is complex and conflicted but, at its very best, a night out in the pub is the perfect social lubricant and one of the highlights of a visit to Dublin. Every Dubliner has their favourite haunt, from the never-changing traditional pub to whatever new opening is bringing in the beautiful people. With more than 1000 of them spread about the city, you'll be spoilt for choice.
All the World is Dublin
For as long as it's been around, Dublin has looked beyond Irish shores for inspiration. Once the second city of the (British) Empire, Dublin has always maintained a pretty cosmopolitan outlook and in the last three decades has conspicuously embraced diversity and multiculturalism. You'll hear languages and eat foods from all four corners of the globe, and while it used to be said that ‘real’ Dubs had to be born within the canals like their parents and grandparents before them, these days you’re just as likely to meet a Dub whose parents were born in Warsaw, Lagos, Cairo or Beijing."
26,Dubrovnik,Croatia,"Regardless of whether you are visiting Dubrovnik for the first time or the hundredth, the sense of awe never fails to descend when you set eyes on the beauty of the old town. Indeed it’s hard to imagine anyone becoming jaded by the city’s limestone streets, baroque buildings and the endless shimmer of the Adriatic, or failing to be inspired by a walk along the ancient city walls that protected the capital of a sophisticated republic for centuries.Although the shelling of Dubrovnik in 1991 horrified the world, the city has bounced back with vigour to enchant visitors again. Marvel at the interplay of light on the old stone buildings; trace the peaks and troughs of Dubrovnik's past in museums replete with art and artefacts; take the cable car up to Mt Srđ; exhaust yourself climbing up and down narrow lanes – then plunge into the azure sea."
27,Dusseldorf,Germany,"Düsseldorf impresses with boundary-pushing architecture, zinging nightlife and an art scene to rival many higher-profile cities. It’s a posh and modern city that seems all buttoned-up business at first glance: banking, advertising, fashion and telecommunications are among the fields that have made North Rhine–Westphalia's capital one of Germany’s wealthiest cities. Yet all it takes is a few hours of bar-hopping around the Altstadt (the historical quarter along the Rhine) to realise that locals have no problem letting their hair down once they shed those Armani jackets.The Altstadt claims fame as the ‘longest bar in the world’ but some focus has moved to Medienhafen, a redeveloped harbour area home to international avant-garde architecture. Older neighbourhoods are also evolving, including the now-hip Flingern and the vibrantly creative Unterbilk, especially along Lorettostrasse. And the new underground Wehrhahn line's six stations are an eye-catching blend of architecture, design and art."
28,Florence,Italy,"Cradle of the Renaissance, romantic, enchanting and utterly irresistible, Florence (Firenze) is a place to feast on world-class art and gourmet Tuscan cuisine.
Art & Architecture
Few cities are so compact in size or so packed with extraordinary art and architecture masterpieces at every turn. The urban fabric of this small city, on the banks of the Arno river in northeastern Tuscany, has hardly changed since the Renaissance and its narrow cobbled streets are a cinematic feast of elegant 15th- and 16th-century palazzi (palaces), medieval candle-lit chapels, fresco-decorated churches, marble basilicas and world-class art museums brimming with paintings and sculptures by Botticcelli, Michelangelo et al. Unsurprisingly, the entire city centre is a Unesco World Heritage Site.
Boutique Shopping
Italy's fashion industry was born and bred here. Homegrown designers Guccio Gucci and Salvatore Ferragamo opened haute-couture boutiques in Florence in the 1920s and shopping in the Tuscan capital has been stylish ever since. A-lister fashion houses lace Via de' Tornabuoni and a Pandora's box of specialist boutiques selling all manner of beautiful objects parade alongside family-run botteghe (workshops) in a glorious tangle of medieval backstreets. Watch fourth-generation Florentine goldsmiths and shoemakers at work, buy artisan scents evocative of the Florentine countryside and Tuscan sea breeze, and know the tag 'Fiorentina' is one of the finest international labels going.
Food & Wine
Quality produce sourced locally, seasonally and sustainably is the holy trinity and Florentines share an enormous pride in their culinary tradition. Their city, surrounded by wine-rich hills, is a gourmet paradise where eating and drinking exceedingly well is mandatory. Be it a traditional bowl of earthy ribollita (bean, bread and veg soup), a tripe panino at a family-run food truck or a blue T-bone steak served in a market trattoria unchanged since 1915, dining in Florence is timeless and memorable. Raw cuisine, fish bistros, craft cocktails and the dazzling creativity of modern young Tuscan chefs add contemporary edge.
La Dolce Vita
Stand on a bridge over the Arno several times in a day and the light and mood changes every time. At sunset hike to Piazzale Michelangelo to be dazzled by a palette embracing every known shade of soft pink, orange and fiery amber. Surprisingly small as it is, Florence looms large on the world's 'must-sees' list – and not just for its unmatched treasure chest of art. Rich in culture, backdropped by history and anchored by family, faith and food, the Florentine lifestyle is enviably sweet. Enjoy a go-slow afternoon passeggiata, indulge in an aperitivo at dusk, savour la dolce vita…
Why I love Florence
By Nicola Williams, Writer
Florence is made for walking, which suits me perfectly, but what never ceases to amaze me is its overwhelming beauty. It's impossible not to be completely and utterly seduced by the sheer size and grandeur of Brunelleschi's red cathedral dome on Piazza del Duomo; by the sensual beauty of a stash of lesser-known Michelangelo sculptures that no one really talks about (forget David – Dawn and Dusk sends shivers down my spine); by the hopelessly romantic city light that turns the Arno and its bridges into a portfolio of Turner canvases during my early-morning runs. Swoon."
29,Frankfurt,Germany,"In this enchanting corner of Germany, the finer things in life take pride of place: good food, great wine, glorious walking and cycling, and exceptional art everywhere, from magnificent museums to quirky street sculptures.Vineyards ribbon the steep-sided Romantic Rhine and Moselle valleys, as well as the wisteria-draped German Wine Route, the country's warmest region. All three areas are strewn with hilltop castles, dark forests and scores of snug wineries for sampling exquisite crisp whites.History abounds here, from the preserved Roman amphitheatre and thermae in Germany's oldest city, Trier; to crooked half-timbered medieval villages; spectacular palaces; centres of learning like the ancient university city of Heidelberg, Goethe's birthplace – the finance and trade-fair hub of Frankfurt; and momentous industrial and engineering legacies – including the invention of the printing press in Mainz, and the bicycle and automobile in Mannheim: that continue to influence the world today."
30,Geneva,Switzerland,"Like the swans that frolic on its eponymous Alpine lake (Europe's largest), Geneva (Genève) is a rare bird. Constantly perceived as the Swiss capital (it isn't), Switzerland's second-largest city is slick and cosmopolitan, and its people chatter in almost every language among streets paved by gold.The headquarters of the World Trade Organization, World Health Organization, International Committee of the Red Cross, the second-largest branches of the United Nations and World Bank (among some 200-odd international organisations, including not-for-profits) are here, along with the overload of luxury hotels, boutiques, jewellers, restaurants and chocolatiers accompanying them.Beneath this flawless exterior, lies a fascinating rough-cut diamond, peopled by artists and activists educated in international schools, drifters and denizens. Geneva's counterculture dwells in Les Grottes, the Quartier des Pâquis and along the post-industrial Rhône where neighbourhood bars hum with attitude and energy. This is the Geneva of the 'real' Genevois…or as close as you'll get to it."
31,Guangzhou,China,"Guǎngzhōu (广州), once better known internationally as Canton, has been China's busiest trading centre for centuries. Despite breakneck redevelopment up to and after the 2010 Asian Games, much of the metropolis still hums along at a pleasantly sedate pace, where narrow, leafy streets conceal temples and mosques, pockets of colonial-era heritage, traditional dim-sum eateries, distinctive qílóu shophouses and Lǐngnán architecture. Equally, you can embrace modernity via the 21st-century architectural landmarks of the showpiece Zhūjiāng New Town, such as the late Zaha Hadid's Opera House and the slim-waisted Canton Tower, rising up over the Pearl River, which cuts a lazy swathe through the city."
32,Hamburg,Germany,"When all's said and done, Hamburg's appeal can be narrowed down to one simple calling card: Welcome to one of the coolest cities on earth.Port City VibeHamburg's historic label, ‘The gateway to the world’, might be a bold claim, but Germany’s second-largest city and biggest port has never been shy. A leading light in the Hanseatic League in the Middle Ages, Hamburg became a centre of international trade, a legacy that continues today: it remains one of Germany's wealthiest cities and Hamburg’s maritime spirit still infuses the entire city. It's the sort of city where echoes of the city's port and history are everywhere, from the incessant cry of gulls overhead to the vibrant neighbourhoods awash with multicultural eateries, seaward-facing architecture and the gloriously seedy Reeperbahn red-light district.A Musical CityThere was one consolation for locals when the city's authorities decided to blow the municipal budget: at least it was done for a new concert hall, the Elbphilharmonie. Hamburg's musical pedigree is staggering: Gustav Mahler once directed the city's 330-year-old state opera, while both Johannes Brahms and Felix Mendelssohn were born here. But it's not just about classical music. Hamburg also has very modern and rather raucous melodic soundtrack, not mention a compelling story. The city nurtured the early promise of the Beatles, and music festivals litter the calendar, while the dynamic live music scene just keeps getting better.Icons of ArchitectureThe Elbphilharmonie is an extraordinary structure, dominating the skyline and capturing in glass and brick the essence of Hamburg's polyglot soul. This striking icon of the city has elevated architecture to the centre of public debate and awareness, and it's just the most famous of a rather exciting collection. Office towers that appear as if they are dancing and buildings that from afar look like ocean liners share the streets with half-timbered relics of the medieval city. And only in Hamburg would they think of preserving a former WWII bunker and turning it into a nightclub.The Good Things in LifeThe good people of Hamburg really know how to live. For a start, they've mastered the ingredients of culinary diversity: elevate your local specialties to the level of an obsession and treasure them, even as you remain open to all manner of gastronomic trends. The result is culinary excellence on multiple fronts. So, too, for nightlife: Hamburg is full to bursting with classy cocktail bars, dance-all-night clubs and neighbourhood bars and pubs that both reflect each neighbourhood's identity and define it. So successful are they that it's almost impossible to come to Hamburg and not have a really good time."
33,Innsbruck,Austria,"Tyrol’s capital is a sight to behold. The jagged rock spires of the Nordkette range are so close that within minutes it’s possible to travel from the city's heart to more than 2000m above sea level and alpine pastures where cowbells chime. Summer and winter activities abound, and it’s understandable why some visitors only take a peek at Innsbruck proper before heading for the hills. But to do so is a shame, for Innsbruck is in many ways Austria in microcosm: its late-medieval Altstadt is picture-book stuff, presided over by a grand Habsburg palace and baroque cathedral, while its Olympic ski jump with big mountain views makes a spectacular leap between the urban and the outdoors."
34,Istanbul,Turkey,"This magical meeting place of East and West has more top-drawer attractions than it has minarets (and that's a lot).Living Historyİstanbul's strategic location has attracted many marauding armies over the centuries. The Greeks, Romans and Venetians took turns ruling before the Ottomans stormed into town and decided to stay – physical reminders of their various tenures are found across the city. The fact that the city straddles two continents wasn't its only drawcard – it was the final stage on the legendary Silk Road linking Asia with Europe, and many merchants who came here liked it so much that they, too, decided to stay. In so doing, they gave the city a cultural diversity that it retains to this day.Art & ArchitectureThe conquering armies of ancient times tended to ransack the city rather than endow it with artistic treasures, but all that changed with the Byzantines, who adorned their churches and palaces with mosaics and frescoes. Miraculously, many of these remain. Their successors, the Ottomans, were quick to launch an ambitious building program and the magnificently decorated imperial mosques that resulted are architectural triumphs that together form one of the world's great skylines. In recent years, local banks and business dynasties have reprised the Ottomans' grand ambitions and endowed an impressive array of galleries, museums and festivals for all to enjoy.Culinary Heritage'But what about the food?' we hear you say. We're happy to report that the city's cuisine is as diverse as its heritage, and delicious to boot. Locals take their eating and drinking seriously – the restaurants here are the best in the country. You can eat aromatic Asian dishes or Italian classics if you so choose, but most visitors prefer to sample the succulent kebaps, flavoursome mezes and freshly caught fish that are the city's signature dishes, washing them down with the national drink, rakı (aniseed brandy), or a glass or two of locally produced wine.Local LifeSome ancient cities are the sum of their monuments, but İstanbul factors a lot more into the equation. Chief among its manifold attractions are the locals, who have an infectious love of life and generosity of spirit. This vibrant, inclusive and expanding community is full of people who work and party hard, treasure family and friendships, and have no problem melding tradition and modernity in their everyday lives. Joining them in their favourite haunts – çay bahçesis (tea gardens), kahvehans (coffeehouses), meyhanes (Turkish taverns) and kebapçıs (kebap restaurants) – will be a highlight of your visit."
35,Ko-samui,Thailand,"Whether you're sun-seeking, dozing in a hammock, feasting on world-class cuisine, beach partying or discovering wellness in an exclusive spa, Ko Samui has it covered.
On the Beach
The kiss of sun on tanned skin, the deep azure of the sky and the gentle lapping of warm waves on satin sands are ideal ingredients for the perfect retreat. Ko Samui’s beaches are a diverse bunch to boot: roll up your beach towel and see what you can find. Make it Coco Tam’s in Fisherman’s village for cocktails and serious chillaxing, Chaweng Beach for sunrise and people-watching, lengthy Mae Nam Beach for peace, or napping under a coconut tree before giving in to a west coast sunset across seas shimmering with bronze.
Food, Food, more Food
Deftly paired with the island’s seductive sands, dining is Samui’s other top indulgence. From the simplest of Thai dishes to scorching regional curries and plates hopping with flavor on seaside tables, you’re spoiled for choice. Don’t overlook more anonymous places, the best meals can await in faceless roadside shacks where locals saunter in. The island is stuffed with kôw gang (rice and curry) shops, often a flimsy wooden shack serving southern Thai–style curries. Follow locals to the food markets for more pointers, but if you need atmosphere, it’s hard to miss: romantic, sunset-flecked dinners can be the holiday moment.
Mind, Body, Spirit
Add some full-on pampering to the leisurely mix. People come here to see other people looking good and to look good too, with a pinch of mindfulness thrown in for massaging the soul. Cleansing fasts, yoga, tai-chi, herbal steam treatments and chakra-balancing restore equilibrium to out-of-kilter systems, are all on offer. And for those who just want to ease away the aches and pains of lying on the beach, Ko Samui’s spas can ease them to the next level of serenity."
36,Kyiv ukrain,Zürich,Error
37,LarnaKa,Cyprus,"Larnaka revolves around its seaside position. The coastal promenade – known universally as the Finikoudes – is where locals and visitors alike come for a morning coffee or an evening beer, to flop out on the beach during the day and to stroll at sunset. It’s the hub of the scene, with restaurants, cafes and bars galore, and during summer it fully revs up for the annual flood of holidaymakers.Take a few steps inland, though, and a less tourism-centred side of Larnaka unfolds. The modern downtown district has stayed determinedly low-rise and has a proper community feel and working-town atmosphere, while the old Turkish quarter of Skala is a slice of days-gone-by Cyprus, with plenty of quaintly dilapidated shutter-windowed and whitewashed houses. Between the two you’ll find the Byzantine church of Agios Lazaros and Larnaka’s little fort, both of which – in their own ways – have kept an eye on the town for centuries."
38,Las-Vegas,USA,"An oasis of indulgence in the desert, Vegas' seduction is hypnotic. The Strip shimmers with promise; like all mirages, though, reality doesn't reflect the veneer.
Entertainment
There are few places outside London, Tokyo and New York where you're this spoiled for choice when it comes to A-list entertainers and big-budget stage shows. Seasonal casino residencies by the megastars of the music world range from next-gen pop divas Lady Gaga, Christina Aguilera, Gwen Stefani and Cardi B, to dad rockers Journey and Aerosmith, to the superstar DJs of the dance music universe, Calvin Harris, Steve Aoki and Tiësto. Top that with seven enthralling Cirque du Soleil shows, the mesmerizing Blue Man Group and magicians Penn & Teller, and you've got a pretty full schedule.
Dining
The volume and concentration of the Strip's celebrity chefs, lauded fine-dining restaurants and America's favorite food franchises is hard to fathom: it's impossible to sample them all, in terms of time taken to savor the spectrum of flavors and the depth of the average visitor's wallet. If you're a foodie on a pilgrimage, we suggest you do your research and narrow your selection before you arrive, lest you be overwhelmed by the scope of what's on offer, or unable to secure a reservation in the short duration of your stay. You'll definitely want to save room for dessert.
Nature Almighty
In this 24/7 city where it's possible to spend your entire visit in labyrinthine indoor worlds where artificial lighting mimics day passing into night, many visitors won't wander far from their expensive accommodations, lavish pool bar, mesmerizing casino floor, or even pulsing dance floor. The wise and well-informed, however, (that's you!) will venture off the Strip to experience the spectacular scenic beauty surrounding Las Vegas (after all, vega is 'meadow' in Spanish). Forged by tectonics, carved by the wind and baked by the desert sun, vast canyons and plains, epic mountains and alpine forests beckon you to trade humanity's distractions for nature's warm embrace.
Luxury Hotels
Those who enjoy life's finer details flock to Vegas to lap up the luxuries of the world's biggest and boldest high-end hotels. With price tags hovering around $300 per night for a sumptuous standard room at Encore, Cosmopolitan or Delano and starting at $1000 per night for a decadent SkyLoft at MGM Grand, $3500 for a Sky Villa at Aria then skyrocketing to a reputed $35,000 for the privilege of occupying Nobu Hotel's exclusive Nobu Villa, Vegas' 150,000+ hotel rooms offer something for every possible taste, ranging in quality and style from the sublime to the ridiculous."
39,Limassol,Cyprus,"Still known to many as Limassol, Lemesos is one of Cyprus’ most underrated cities. Although fringed on its eastern edge by a glut of bland-looking developments, the core is full of character. Wrapped around a castle, the historic centre radiates out in a web of lanes where old, shuttered houses and modern boutiques lie cheek by jowl. It’s an area buzzing with cafes, bars and restaurants that are as popular with locals as with visitors.This is Cyprus’ international business centre and, despite the financial woes of recent years, there’s again a sense of optimism in the air. Its flashy marina has introduced an atmosphere of glamour and opulence, and grittier areas of town are being tagged for a revamp. For travellers looking for a holiday that takes in more than sun and sea, Lemesos lies at the very heart of one of the island’s richest areas for exploration."
40,Lisbon,Portugal,"Seven cinematic hillsides overlooking the Rio Tejo cradle Lisbon's postcard-perfect panorama of cobbled alleyways, ancient ruins and white-domed cathedrals – a captivating scene crafted over centuries.
Beyond Bacalhau: Lisbon for Foodies
Dining in Lisbon is far more dynamic than navigating countless preparations of Portugal's beloved bacalhau (dried and salted cod fish; 365 recipes and counting!). While bacalhau à Brás (shredded cod with onions, eggs and potatoes; a Bairro Alto original) is never far, Lisbon's strategic seaside position on Europe's doorstep means a bounty of fresh seafood (octopus, tuna, monkfish, shrimp, sardines, clams, snails) rules the city's kitchens, from Michelin-starred restaurants to gourmet-food markets to countless corner tascas (taverns). Top-grade Alentejan beef beckons with juicy steaks and gourmet burgers, and you'll find everything from tantalising Indian curries to authentic Moroccan couscous in between.
Last Call, Lisbon!
Cheap booze and the absence of open-container laws means Lisbon loves a night on the town! Don't be fooled by Bairro's Alto's sleepy daytime feel – by night, these narrow cobbled lanes transform into one of Europe's most raucous drinking locales. Student dives, traditional fado houses, upscale wine bars and LGBT hot spots merrily coexist among the muddled mess. In Cais do Sodré, Pink Street and environs are home to some of the city's classic nightclubs and rowdiest cocktail bars, while trendier megaclubs stretch along the waterfront from Santos to Santa Apolónia. Last call? Sunrise!
The Great Lisbon Earthquake
You couldn't blame your average lisboêta for thinking of the Apocalypse when the ground gave way just before 10am on 1 November, 1755. What followed was eight astonishing minutes of city-shattering shaking spread across three tremors, followed 40 minutes later by a massive, city-engulfing tsunami, culminating in a week-long firestorm that incinerated what little was initially spared. Lisbon was decimated. Today, the modern city is shaped by these cataclysmic events – nearly everything is defined as before or after the earthquake – and the Pombaline architecture that defined post-quake Lisbon reconstruction was some of the first seismically protected building in Europe.
Miradouro Mania: Scenic City Views
Lisbon's trademark seven hills are spread across the cityscape like lofty guardians of colour and history. Capped by a collection of terraces known as miradouros (viewpoints), a must-see web of no-filter-necessary views over Lisbon, the Tejo and beyond is formed. Our favourite miradouros – Portas do Sol, São Pedro de Alcântara, da Graça, da Senhora do Monte, Santa Luzia and, of course, Castelo de São Jorge – all offer stunning spots to get your bearings and while away afternoons over bica (espresso), elegant glasses of Touriga Nacional or refreshing pitchers of sangria, while rubbernecking the city's stupendous horizons."
41,Ljubljana,Slovenia,"Slovenia's capital and largest city is one of Europe's greenest and most liveable capitals; it was the European Commission's Green Capital of Europe in 2016. Car traffic is restricted in the centre, leaving the leafy banks of the emerald-green Ljubljanica River, which flows through the city's heart, free for pedestrians and cyclists. In summer, cafes set up terrace seating along the river; it almost feels like a nightly street party.Slovenia's master of early-modern, minimalist design, Jože Plečnik, graced Ljubljana with beautiful bridges and buildings as well as dozens of urban design elements such as pillars, pyramids and lamp posts, which exist solely to make the city even prettier. Attractive cities are often described as 'jewel boxes', and here the name really fits. Some 50,000 students support an active clubbing scene, and Ljubljana's museums and restaurants are among the best in the country."
42,Los Angeles,USA,"Ruggedly good looking, deeply creative, with a sunny disposition to boot…if LA were on Tinder, the app would crash.
Natural Beauty
Envy is an ugly thing, New York. While your denizens spend their time sniffling and throwing shade in the snow, Angelenos are busy riding waves, tying up their hiking boots and counting their copious blessings. Think about it: in how many megalopolises can you gallop across rugged mountains just nine miles from City Hall? Despite its heaving head count, LA is a city indelibly tied to mighty Mother Nature. Here, dense, vibrant neighborhoods back onto golden beaches, city streets lead up to flower-carpeted hillsides, and huge, deep-blue skies are an IMAX screen for lingering sunsets made to pierce your heart.
Creative Overload
Dreams are serious business in La La Land. Home to Hollywood, this is a city where fantastical thoughts are encouraged; a place gleefully wrapped in endless layers of modern legend and mythology. Every year countless small-town dreamers pour onto its streets, itching to share their tales with LA and the world – on screen and stage, in lyrics, or on the whitewashed walls of galleries. The end result is an electrifying whirlpool of creativity: edgy art spaces, cult-status rock venues, acclaimed concert halls and thought-provoking stages, all fueling a city addicted to the weird, the wonderful and the downright scandalous.
Architectural Riches
LA's obsession with creative expression extends to its stucco and mortar. After all, this is where movie palaces look like Chinese temples and ancient Egyptian tombs, where concerts halls twist and curve like steely cartoon characters, and where soda bottling plants look like landlocked ocean liners. Indeed, LA celebrates architectural diversity with astounding gusto. From storybook Hollywood abodes and Silver Lake modernist prototypes, to downtown theaters channeling the Palace of Versailles, no other American city delivers such a thrilling mash-up of architectural styles, statements and role models…often on the very same palm-studded street.
Food & Drink
So which really has the better food scene: LA or SF? While the latter may claim more Michelin stars, LA packs one heck of a culinary punch. It's here that you'll find California's best tacos, the country's most authentic Korean and one of the nation's biggest concentrations of vegan restaurants. And when it comes to imbibing, SF best take a cable car home. From dirty martinis in a basement power station, to craft brews in a steampunk bowling alley, LA has a knack for turning humble drinking sessions into otherworldly adventures worthy of a toast or three."
43,Madrid,Spain,"Madrid is a beguiling place with an energy that carries one simple message: this city really knows how to live.
An Artistic City
Few cities boast an artistic pedigree quite as pure as Madrid’s: many art lovers return here again and again. For centuries, Spanish royals showered praise and riches upon the finest artists of the day, from home-grown talents such as Goya and Velázquez to Flemish and Italian greats. Masterpieces by these and other Spanish painters such as Picasso, Dalí and Miró now adorn the walls of the city’s world-class galleries. Three in particular are giants – the Museo del Prado, Centro de Arte Reina Sofía and Museo Thyssen-Bornemisza – but in Madrid these are merely good places to start.
A Culinary Capital
Rising above the humble claims of its local cuisine, Madrid has evolved into one of the richest culinary capitals of Europe. The city has wholeheartedly embraced all the creativity and innovation of Spain’s gastronomic revolution. But this acceptance of the new is wedded to a passion for the enduring traditions of Spanish cooking, for the conviviality of the eating experience and for showcasing the infinite variety of food from every Spanish region. From tapas in sleek temples to all that’s new to sit-down meals beneath centuries-old vaulted ceilings, eating in Madrid is a genuine pleasure.
Killing the Night
Madrid nights are the stuff of legend, and the perfect complement to the more sedate charms of fine arts and fine dining. The city may have more bars than any other city on earth – a collection of storied cocktail bars and nightclubs that combine a hint of glamour with non-stop marcha (action). But that only goes some way to explaining the appeal of after-dark Madrid. Step out into the night-time streets of many barrios and you’ll find yourself swept along on a tide of people, accompanied by a happy crowd intent on dancing until dawn.
Beautiful Architecture
Madrid may lack the cachet of Paris, the monumental history of Rome, or Barcelona’s reputation for Modernista masterpieces. And no, there is no equivalent of the Eiffel Tower, Colosseum or La Sagrada Família that you can point to and say ‘this is Madrid’. But Madrid has nothing to be envious of. Spain's broad sweep of architectural history provides a glorious backdrop to city life, from medieval mansions and royal palaces to the unimagined angles of Spanish contemporary architecture, from the sober brickwork and slate spires of Madrid baroque to the extravagant confections of the belle époque. Put simply, this is one beautiful city."
44,Manila,Philippines,"Manila has outstanding sightseeing it's true, but visitors who put in the effort will discover its creative soul – from edgy galleries to a lively indie music scene. Combine this with a penchant for speakeasy bars, artisan markets and single-origin coffees, and it's clear to see that Manila is not only one of Asia's most underrated cities, but one of its coolest.
Manila’s moniker, the ‘Pearl of the Orient’, couldn’t be more apt – its unappealing shell reveals its jewel only to those resolute enough to pry. Skyscrapers pierce the hazy sky, mushrooming from the grinding poverty of expansive shanty towns, while gleaming malls foreshadow Manila’s brave new air-conditioned world. The congested roads snarl with traffic, but, like the overworked arteries of a sweating giant, they are what keeps this modern metropolis alive. No stranger to hardship, the city has endured every disaster humans and nature could throw at it, and yet today the chaotic metropolis thrives as a true Asian megacity.
 "
45,Marseille,France,"Grit and grandeur coexist seamlessly in Marseille, an exuberantly multicultural port city with a pedigree stretching back to classical Greece and a fair claim to the mantle of France's second city. Once seen as somewhat dirty and dangerous, and lacking the glamour of Cannes or St-Tropez, this black sheep of the Provençal coastline has blossomed in cultural confidence since its 2013 stint as the European Capital of Culture. The addition of a brace of swanky new museums is just the outward sign of an optimism and self-belief that's almost palpable.Marseille's heart is the vibrant Vieux Port (old port), mast-to-mast with yachts and pleasure boats. Just uphill is the ancient Le Panier neighbourhood, the oldest section of the city. Also worth an explore is the République quarter, with its stylish boutiques and Haussmannian buildings, and the Joliette area, centred on Marseille’s totemic Cathédrale de Marseille Notre Dame de la Major."
46,Mexico-City,Mexico,"Mexico City is, and has always been, the sun in the Mexican solar system. Though much-maligned in the past, these days the city is cleaning up its act. Revamped public spaces are springing back to life, the culinary scene is exploding and a cultural renaissance is flourishing. On top of all that, by largely managing to distance itself from the drug war, the nation’s capital remains a safe haven of sorts. Far from shaking off visitors, the earthquakes of 2017 revealed a young society who attracted admiration through their solidarity.
A stroll through the buzzing downtown area reveals the capital’s storied history, from pre-Hispanic and colonial-era splendor to its contemporary edge. This high-octane megalopolis contains plenty of escape valves in the way of old-school cantinas, intriguing museums, inspired dining and boating excursions along ancient canals. With so much going on, you might consider scrapping those beach plans."
